GitHub address,PR State
https://github.com/AECgeeks/ifc-pipeline/pull/19,merged
https://github.com/do-community/landing-laravel/pull/1,open
https://github.com/pinceladasdaweb/docker-fastify-restful-api/pull/58,merged
https://github.com/libremfg/getting-started/pull/14,open
https://github.com/marclamberti/docker-airflow/pull/4,open
https://github.com/John-Doherty01/docker-celery/pull/1,closed
https://github.com/hironomiu/Docker-DockerCompose-Training/pull/1,open
https://github.com/shazforiot/How-To-Setup-Influxdb-Telegraf-And-Grafana-using-Docker-Compose/pull/1,open
https://github.com/crowdsecurity/example-docker-compose/pull/9,open
https://github.com/kkoralsky/tmate-docker-compose/pull/5,open
https://github.com/ingadhoc/docker-compose-odoo/pull/8,open
https://github.com/fmdlc/ISP-Checker/pull/41,open
https://github.com/analythium/docker-compose-shiny-example/pull/1,open
https://github.com/qwxingzhe/apisix-docker-compose/pull/3,open
https://github.com/IshtarStar/docker-compose-nginx-phpfpm/pull/3,merged
https://github.com/aws-containers/demo-app-for-docker-compose/pull/7,open
https://github.com/IshtarStar/docker-compose-nginx-phpfpm-xdebug-mariadb/pull/2,merged
https://github.com/atingupta2005/docker-compose-example-python/pull/1,open
https://github.com/Naresh240/docker-compose/pull/1,open
https://github.com/shazforiot/Promtail-Loki-Grafana-using-Docker-Compose/pull/1,open
https://github.com/elasticlabs/airflow-jupyter-docker-compose/pull/1,open
https://github.com/appvia/kev/pull/677,open
https://github.com/mohamadlawand087/v5-dockerComposeAspNetCpre/pull/1,open
https://github.com/safe-global/safe-infrastructure/pull/46,closed
https://github.com/jigarius/docker-rails-example/pull/1,open
https://github.com/jmlcas/Docker-WordPress-SSL/pull/3,open
https://github.com/sethforprivacy/self-hosted-services/pull/37,open
https://github.com/daliasheasha/MyWebApp/pull/1,open
https://github.com/bezkoder/docker-mern-nginx/pull/1,open
https://github.com/WeebDataHoarder/p2pool-compose/pull/12,open
https://github.com/onelittlenightmusic/graphql-mesh-docker/pull/12,open
https://github.com/CanastaWiki/Canasta-DockerCompose/pull/24,open
https://github.com/Ramhm/sentry-setup/pull/2,open
https://github.com/kgnblg/react-laravel/pull/40,open
https://github.com/metaphacts/metaphactory-docker-compose/pull/1,open
https://github.com/liamlows/LOCAL_Sample_Docker-Compose_Project/pull/35,open
https://github.com/miohtama/ethereum-blockchain-docker-compose/pull/2,open
https://github.com/aganse/docker_mlflow_db/pull/1,open
https://github.com/firefart/rt-docker/pull/18,closed
https://github.com/TRaSH-/Guides-Synology-Templates/pull/87,closed
https://github.com/michelwaechter/nuxt3-tailwind3-starter/pull/1,open
